Statistical profiling result from isolate-0x62d8be0-4902-v8.log, (19355 ticks, 12872 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  JS: *stat node:internal/modules/cjs/loader:172:14
      1    0.0%    0.0%  JS: *slowCases node:internal/util:217:19
      1    0.0%    0.0%  JS: *reportModuleToWatchMode node:internal/modules/cjs/loader:204:33
      1    0.0%    0.0%  JS: *normalizeRequirableId node:internal/bootstrap/realm:292:31
      1    0.0%    0.0%  JS: *keyFromFields /var/www/html/kwaku/fatou/yellow/node_modules/mysql2/lib/parsers/parser_cache.js:9:23
      1    0.0%    0.0%  JS: *isUint8Array node:internal/util/types:13:22
      1    0.0%    0.0%  JS: *isPosixPathSeparator node:path:56:30
      1    0.0%    0.0%  JS: *isEncoding node:buffer:570:40
      1    0.0%    0.0%  JS: *isEOF /var/www/html/kwaku/fatou/yellow/node_modules/mysql2/lib/packets/packet.js:176:8
      1    0.0%    0.0%  JS: *hasHooks node:internal/async_hooks:470:18
      1    0.0%    0.0%  JS: *getEncodingOps node:buffer:719:24
      1    0.0%    0.0%  JS: *get data /var/www/html/kwaku/fatou/yellow/node_modules/express-session/session/cookie.js:117:11
      1    0.0%    0.0%  JS: *extname node:path:1388:10
      1    0.0%    0.0%  JS: *executeStart /var/www/html/kwaku/fatou/yellow/node_modules/mysql2/lib/packet_parser.js:63:15
      1    0.0%    0.0%  JS: *d /var/www/html/kwaku/fatou/yellow/node_modules/@faker-js/faker/dist/cjs/internal/bind-this-to-member-functions.js:1:504
      1    0.0%    0.0%  JS: *capitalizeFirstLetter :13:36
      1    0.0%    0.0%  JS: *Module.require node:internal/modules/cjs/loader:1107:36
      1    0.0%    0.0%  JS: *FastBuffer node:internal/buffer:960:14

 [C++]:
   ticks  total  nonlib   name
    977    5.0%    5.8%  epoll_pwait@@GLIBC_2.6
    916    4.7%    5.5%  __write@@GLIBC_2.2.5
    250    1.3%    1.5%  _IO_fwrite@@GLIBC_2.2.5
    161    0.8%    1.0%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
    145    0.7%    0.9%  syscall@@GLIBC_2.2.5
     94    0.5%    0.6%  _IO_file_xsputn@@GLIBC_2.2.5
     80    0.4%    0.5%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
     60    0.3%    0.4%  pthread_cond_signal@@GLIBC_2.3.2
     60    0.3%    0.4%  isprint@@GLIBC_2.2.5
     54    0.3%    0.3%  __libc_malloc@@GLIBC_2.2.5
     39    0.2%    0.2%  __read@@GLIBC_2.2.5
     27    0.1%    0.2%  __munmap@@GLIBC_PRIVATE
     26    0.1%    0.2%  __libc_free@@GLIBC_2.2.5
     23    0.1%    0.1%  __open@@GLIBC_2.2.5
     19    0.1%    0.1%  std::ostream& std::ostream::_M_insert<long>(long)@@GLIBCXX_3.4.9
     18    0.1%    0.1%  __mmap@@GLIBC_PRIVATE
     16    0.1%    0.1%  __madvise@@GLIBC_PRIVATE
     13    0.1%    0.1%  __pthread_mutex_lock@GLIBC_2.2.5
     11    0.1%    0.1%  __lll_lock_wait_private@@GLIBC_PRIVATE
     10    0.1%    0.1%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
     10    0.1%    0.1%  __mprotect@@GLIBC_PRIVATE
      8    0.0%    0.0%  operator new(unsigned long)@@GLIBCXX_3.4
      7    0.0%    0.0%  std::ostream::operator<<(int)@@GLIBCXX_3.4
      6    0.0%    0.0%  operator delete(void*, unsigned long)@@CXXABI_1.3.9
      5    0.0%    0.0%  operator new[](unsigned long)@@GLIBCXX_3.4
      5    0.0%    0.0%  operator delete(void*)@@GLIBCXX_3.4
      5    0.0%    0.0%  brk@@GLIBC_2.2.5
      5    0.0%    0.0%  __pthread_rwlock_wrlock@GLIBC_2.2.5
      5    0.0%    0.0%  _IO_fflush@@GLIBC_2.2.5
      4    0.0%    0.0%  std::locale::id::_M_id() const@@GLIBCXX_3.4
      4    0.0%    0.0%  std::__detail::_List_node_base::_M_hook(std::__detail::_List_node_base*)@@GLIBCXX_3.4.15
      3    0.0%    0.0%  std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      3    0.0%    0.0%  fputc@@GLIBC_2.2.5
      3    0.0%    0.0%  __pthread_rwlock_unlock@GLIBC_2.2.5
      3    0.0%    0.0%  __pthread_mutex_unlock@GLIBC_2.2.5
      2    0.0%    0.0%  std::ostream& std::ostream::_M_insert<unsigned long>(unsigned long)@@GLIBCXX_3.4.9
      2    0.0%    0.0%  std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, unsigned long) const@@GLIBCXX_3.4
      2    0.0%    0.0%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      2    0.0%    0.0%  std::_Rb_tree_decrement(std::_Rb_tree_node_base*)@@GLIBCXX_3.4
      2    0.0%    0.0%  __popcountdi2@@GCC_3.4
      2    0.0%    0.0%  __libc_calloc@@GLIBC_2.2.5
      2    0.0%    0.0%  __errno_location@@GLIBC_2.2.5
      2    0.0%    0.0%  __clock_gettime@@GLIBC_PRIVATE
      2    0.0%    0.0%  _IO_file_write@@GLIBC_2.2.5
